COMMUNITY,MOVEMENT_GROUP,FAN_ID,PRIMARY_MERCHANT,SECONDARY_MERCHANT,DAY_DATE,WINS,LOSSES,NET,PRIMARY_SPEND,SECONDARY_SPEND
NHL,Video Streaming,9507ffbdd89e1ffd5371f3a391f4633f,hulu,_none_,2024-04-29,0,1,-1,18.127500000,
MLB,Video Streaming,6642b55c0eec709d0fccfe2a67090b1a,roku,_none_,2024-07-23,0,1,-1,11.710000000,
NFL,Video Streaming,87101014a07eb6e8e004acd4390e250f,hbo_max,_none_,2023-12-22,1,0,1,14.790000000,
MLB,Video Streaming,fc133569cb81e2fe41bf2135dea2bd1c,_none_,hulu,2024-05-29,1,0,1,,17.847142857
NFL,Video Streaming,06ea736c9239d68cbb6ce6bd85588f36,paramount+,_none_,2024-03-17,0,1,-1,5.639285714,
MLB,Video Streaming,e0cb7e670617dd440380f3ad1f7c2c0d,vudu,_none_,2024-09-28,0,1,-1,5.125000000,
NFL,Video Streaming,0a6f0956815447e222a9e3a14482cf7d,nba_league_pass,_none_,2023-11-22,1,0,1,25.201250000,
NBA,Video Streaming,c8f0245ac3e97d36213988989981f0c4,netflix,_none_,2023-11-24,1,0,1,7.499375000,
MLB,Video Streaming,69fc051f32ac71d653988b40acc13fb0,vimeo,_none_,2024-07-15,1,0,1,20.165000000,
NBA,Video Streaming,50ac70676700c1eaee0abbb97718dc26,hbo_max,_none_,2024-04-19,0,1,-1,15.746250000,
MLB,Video Streaming,de10b09d7215d2d115a9b6a32991a50e,_none_,netflix,2024-04-28,0,1,-1,,7.647142857
NFL,Video Streaming,d0d136a29051be90104cb93f057cc3ce,youtube_tv,_none_,2024-08-19,0,1,-1,74.422727273,
NBA,Video Streaming,37ba889593e179843e148fcb0674bd68,roku,hbo_max,2024-04-22,0,1,-1,16.094285714,10.360000000
NFL,Video Streaming,530f413f5a9f0fe308840e5f8a3aa9b3,_none_,paramount+,2023-11-14,1,0,1,,10.033200000
MLB,Video Streaming,b733e2ae29c701f6e1c6cb2f788aeb89,hulu,_none_,2024-01-05,0,1,-1,19.697777778,
NHL,Video Streaming,30a80ffe4f276f5e50e0860f84a84b48,paramount+,_none_,2024-03-16,1,0,1,6.179166667,
MLS,Video Streaming,c1887fe8787d14494639bb4452d0a422,_none_,hulu,2024-04-11,0,1,-1,,15.933076923
NHL,Video Streaming,4e82bae558b756e6343164523bc91d09,_none_,fubo_tv,2024-01-02,1,0,1,,90.541250000
NHL,Video Streaming,ca1a227f296e7e4ab4393f9852bd3abd,disney_plus,_none_,2023-10-28,1,0,1,15.268750000,
NFL,Video Streaming,c340f96d51e83a5c51d1f9617322fb4b,_none_,hulu,2024-09-30,1,0,1,,18.345000000
NHL,Video Streaming,de83a4849534130848bb53056427825b,peacock_tv,_none_,2024-01-06,1,0,1,4.020000000,
NBA,Video Streaming,869151fd2a3808da82ff4fffa9cc5e15,netflix,_none_,2024-09-08,0,1,-1,16.795000000,
MLB,Video Streaming,00338dec09c7ef9ed78a7b71e9f6d54d,netflix,_none_,2024-03-30,0,1,-1,22.483571429,
MLB,Video Streaming,6cca1d4c8ed0dbe8cc644107adfa64f7,netflix,_none_,2024-07-14,1,0,1,16.525000000,
MLB,Video Streaming,53b04acaf71143bd36c07fef2ad154c4,_none_,roku,2024-01-10,1,0,1,,17.110909091
MLB,Video Streaming,8d45ab2bbcc28e94b48c5f9d541d02fe,_none_,roku,2023-12-24,0,1,-1,,11.796428571
NFL,Video Streaming,1382e255d49bff0825fb3386927e0660,_none_,peacock_tv,2024-10-01,1,0,1,,6.064375000
NFL,Video Streaming,1ab9694480641f53a7dda5d58002916d,_none_,youtube_tv,2024-03-07,0,1,-1,,91.861000000
MLB,Video Streaming,f4a6acbf474344fe5f3d4fb1a20dba24,disney_plus,_none_,2024-04-03,0,1,-1,23.415000000,
MLB,Video Streaming,02c6ddc182f0acda34cfb4290fc38426,_none_,peacock_tv,2023-11-22,1,0,1,,5.324000000
NFL,Video Streaming,b8e39de833e2d17dfc663fd760327f4c,netflix,_none_,2023-12-04,0,1,-1,31.874000000,
NBA,Video Streaming,7859e05e7465dfebdb78f388587c3369,_none_,netflix,2023-12-17,0,1,-1,,15.150666667
NFL,Video Streaming,c9296f3ee2e95527b409f27f17bf0b33,_none_,roku,2023-12-28,1,0,1,,5.371904762
MLB,Video Streaming,a3f305812a3b29278fc5d82e2245df85,hbo_max,_none_,2024-01-15,0,1,-1,16.250000000,
NHL,Video Streaming,d99a3a9946ed4154fe60c0f63f780977,hulu,_none_,2024-09-21,0,1,-1,1.975454545,
NBA,Video Streaming,2abd68533e9104c17f5d8c8ee8ac3068,espn+,_none_,2023-12-17,1,0,1,94.490000000,
MLB,Video Streaming,2b3243bb66bcadb6fa943963ed5116da,_none_,peacock_tv,2024-09-12,1,0,1,,6.675000000
NFL,Video Streaming,9a4614b2551ccdd0daf7154c7fc59c80,espn+,_none_,2024-04-06,0,1,-1,8.748000000,
NBA,Video Streaming,107026c41a0bc1c3d75dcd304d23ec01,_none_,peacock_tv,2023-11-30,0,1,-1,,6.197333333
NBA,Video Streaming,269abc11879c8a45da5f770d917346df,peacock_tv,_none_,2024-02-22,0,1,-1,6.241764706,
NBA,Video Streaming,81c1fa2d5fdcfecf2126f004ef98c983,dazn,_none_,2024-03-10,0,1,-1,26.442000000,
NHL,Video Streaming,5ff5fcf3ad3770fd1dfa38a4e90c1e0f,_none_,disney_plus,2023-11-12,0,1,-1,,14.726875000
MLB,Video Streaming,e32e4ec68b85896a2510bf18a1dd540d,_none_,netflix,2023-10-27,0,1,-1,,17.085000000
NBA,Video Streaming,9338f95c870cb1a5816cc13775851215,_none_,netflix,2024-07-08,1,0,1,,16.051666667
NHL,Video Streaming,d2b6d81f03a1b797f4a7913292f97f3d,netflix,fubo_tv,2024-08-17,0,1,-1,16.536666667,104.360000000
NFL,Video Streaming,ac0935b53f14df3add312dec13293009,_none_,paramount+,2024-01-06,0,1,-1,,5.826363636
NFL,Video Streaming,e4331582c2bc687797ba23800066b193,_none_,netflix,2024-02-22,1,0,1,,20.451785714
NFL,Video Streaming,50511cd96aa24a1a237496658f94729d,_none_,peacock_tv,2024-01-28,0,1,-1,,6.425000000
WNBA,Video Streaming,de7e769ed4f1dd8bb2272b7974092497,disney_plus,_none_,2023-11-03,1,0,1,15.044615385,
NHL,Video Streaming,1a5ba377c1983908cc8b448f7e9d8343,_none_,netflix,2024-10-17,1,0,1,,16.376923077
NHL,Video Streaming,aa89321b4a9a04235fdb904356d1f19b,_none_,netflix,2024-07-13,1,0,1,,15.435000000
MLB,Video Streaming,3dc8f2561a8bc7a09127e93c9bdb5e6a,_none_,netflix,2023-10-01,0,1,-1,,7.402941176
MLS,Video Streaming,47ed2c466d3fb344e03f5ce998110853,youtube_tv,_none_,2024-05-28,1,0,1,71.592000000,
MLB,Video Streaming,881d20e599bd26ebca7f5e284ada73b4,hulu,_none_,2024-02-26,1,0,1,16.305000000,
MLB,Video Streaming,94ba5e08a8a1c55bd55965cf8ff47614,youtube_tv,_none_,2024-09-26,0,1,-1,71.890000000,
NBA,Video Streaming,5b11b3a65b945dcdd64d7b5db561c9cb,_none_,disney_plus,2024-04-16,1,0,1,,12.534666667
NHL,Video Streaming,c37340b2be00cbc57dccb201b6cffeb7,_none_,netflix,2024-01-15,0,1,-1,,16.924285714
MLB,Video Streaming,b1bd8ca5038eabff9829d1312e7515e9,disney_plus,_none_,2023-11-16,1,0,1,9.920000000,
NFL,Video Streaming,cb43a55c5f8a4c71b7251a08cc21f584,netflix,_none_,2023-11-03,1,0,1,16.925714286,
MLB,Video Streaming,e4586adaa9775b32e2d450513de592de,disney_plus,_none_,2024-10-05,0,1,-1,11.653703704,
NHL,Video Streaming,e710aa44115d7487d5ea29b009f2fa88,_none_,hulu,2024-03-19,1,0,1,,20.544193548
NHL,Video Streaming,e0e5df59375dc70654b826ea5a686d15,roku,_none_,2024-01-01,1,0,1,19.840000000,
NFL,Video Streaming,cf0fce7070732d0f72a335c36a3c1aba,_none_,peacock_tv,2024-07-23,1,0,1,,6.022777778
MLB,Video Streaming,ec913b142db37309cc491a73327ea733,_none_,hulu,2024-06-03,1,0,1,,8.941176471
MLB,Video Streaming,d94bf3bec9ec396b3af4175a588c4fa7,hulu,_none_,2024-02-13,0,1,-1,1.966000000,
WNBA,Video Streaming,e4a12101fd0006aa79dfa28def7da26e,_none_,hulu,2023-10-27,1,0,1,,89.189000000
NBA,Video Streaming,c8e7dadf91121ab3af4aec062b6949bc,hulu,_none_,2024-09-21,0,1,-1,30.003111111,
NBA,Video Streaming,7542599dd00915828441c49c7b04b512,_none_,disney_plus,2024-01-26,1,0,1,,12.802000000
NFL,Video Streaming,553e84aa4ec93d6c5fe6a786b64d604e,_none_,hulu,2024-09-17,1,0,1,,15.679777778
NBA,Video Streaming,3d748d053e8ec98324a330166d20246a,peacock_tv,_none_,2024-08-08,0,1,-1,5.771395349,
MLB,Video Streaming,d6878f912e1c1747ea74e7212a580ef2,_none_,hulu,2023-12-01,0,1,-1,,45.885000000
MLB,Video Streaming,33b8f38b15a63d61562ae8e21728e3cd,_none_,peacock_tv,2024-01-25,1,0,1,,6.578571429
NHL,Video Streaming,f1967c461a5536eefebb648f789e2c17,hulu,_none_,2024-03-30,0,1,-1,7.590769231,
MLB,Video Streaming,05068df6797d2d13491fcbd413a5d7d7,disney_plus,_none_,2024-08-29,0,1,-1,10.057692308,
MLB,Video Streaming,8dffdb19b7dd9bb8fa29ce0d32ca421a,_none_,peacock_tv,2024-01-05,0,1,-1,,8.465000000
NBA,Video Streaming,1d6e18d8c084a5af5bfbdaa522aac3c3,_none_,fubo_tv,2024-01-10,0,1,-1,,98.845000000
